source_db_id;source_schema_name;source_table_name;target_db_id;target_schema_name;target_table_name;source_insert_id_colname;source_last_updated_on_colname;is_static_support_table;can_insert_rows;can_update_rows;can_delete_rows;update_target_table_algorithm_id;update_target_table;compare_target_table;mark_rows_for_deletion_algorithm_id;delete_marked_rows_algorithm_id;mark_rows_for_deletion;delete_marked_rows;row_can_be_deleted_from_seconds;can_delete_row_schema_name;can_delete_row_table_name;delete_marked_rows_table_order
10;public;obo__axle_tariff_category;20;public;obo__axle_tariff_category;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;public;obo__compliance_case_passage_event_map;20;public;obo__compliance_case_passage_event_map;;;N;Y;N;Y;4;Y;Y;0;0;N;N;;;;
10;public;obo__compliance_case_register;20;public;obo__compliance_case_register;compliance_case_id;last_updated_on;N;Y;Y;N;6;Y;Y;0;0;N;N;;;;
10;public;obo__control_point_status;20;public;obo__control_point_status;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;public;obo__control_point_type;20;public;obo__control_point_type;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;public;obo__control_points;20;public;obo__control_point;control_point_id;last_updated_on;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;public;obo__country;20;public;obo__country;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;public;obo__data_authorities;20;public;obo__data_authority;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;public;obo__dsrc_data_receipt;20;public;obo__dsrc_data_receipt;ddr_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;public;obo__euro_emissions_class;20;public;obo__euro_emissions_class;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;public;obo__obu_register;20;public;obo__obu_register;obu_register_id;last_seen_on;N;Y;Y;N;6;Y;Y;0;0;N;N;;;;
10;public;obo__obu_register_status;20;public;obo__obu_register_status;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;public;obo__passage_events;20;public;obo__passage_event;passage_event_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;public;obo__passage_event_derived_data;20;public;obo__passage_event_derived_data_with_rating;pedd_id;last_updated_on;N;Y;Y;N;3;Y;Y;0;0;N;N;;;;
10;public;obo__passage_event_dsrc_data;20;public;obo__passage_event_dsrc_data;pe_dsrc_data_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;public;obo__passage_event_type;20;public;obo__passage_event_type;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;public;obo__pedd_status;20;public;obo__pedd_status;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;public;obo__road_scheme_status;20;public;obo__road_scheme_status;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;public;obo__road_scheme_validity;20;public;obo__road_scheme_validity;road_scheme_id;last_updated_on;N;Y;Y;N;6;Y;Y;0;0;N;N;;;;
10;public;obo__road_sections;20;public;obo__road_section;road_section_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;public;obo__road_segments;20;public;obo__road_segment;road_segment_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;public;obo__roads;20;public;obo__road;road_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;public;obo__scheme_compliance_category;20;public;obo__scheme_compliance_category;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;public;obo__scheme_compliance_sub_category;20;public;obo__scheme_compliance_sub_category;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;public;obo__scheme_liability_category;20;public;obo__scheme_liability_category;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;public;obo__topology_road_section_control_points;20;public;obo__topology_road_section_control_point;toporscp_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;public;obo__topology_road_sections;20;public;obo__topology_road_section;toporsec_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;public;obo__topology_road_segments;20;public;obo__topology_road_segment;toporseg_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;public;mon__alarm_action_type;20;public;mon__alarm_action_type;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
10;public;mon__alarm_actions;20;public;mon__alarm_action;alarm_action_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;public;mon__alarms;20;public;mon__alarm;alarm_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
10;public;mon__data_collection_source;20;public;mon__data_collection_source;dcs_id;last_updated_on;N;Y;Y;N;6;Y;Y;0;0;N;N;;;;
10;public;mon__managed_objects;20;public;mon__managed_object;managed_object_id;last_updated_on;N;Y;Y;N;6;Y;Y;0;0;N;N;;;;
