source_db_id;source_schema_name;source_table_name;target_db_id;target_schema_name;target_table_name;source_insert_id_colname;source_last_updated_on_colname;is_static_support_table;can_insert_rows;can_update_rows;can_delete_rows;mirror_algorithm_id;mirror_tables;compare_tables;mark_rows_for_deletion_algorithm_id;delete_marked_rows_algorithm_id;mark_rows_for_deletion;delete_marked_rows;row_can_be_deleted_from_seconds;can_delete_row_schema_name;can_delete_row_table_name;delete_marked_rows_table_order
2;public;account_status_list;10;obo;;record_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
2;public;action_list_lookup_log;10;obo;;alll_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
2;public;action_list_type;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;actionlists_restreq_tracking;10;obo;;request_tracking_id;;N;Y;Y;Y;1;Y;Y;0;0;N;N;;;;
2;public;actionlists_restreq_type;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;actionlists_restres_error_details;10;obo;;rred_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
2;public;actionlists_restres_subcode;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;analysis_detailed_results;10;obo;;analysis_detailed_result_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
2;public;analysis_queue;10;obo;;analysis_queue_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
2;public;analysis_queue_status;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;analysis_queue_type;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;analysis_request;10;obo;;analysis_request_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;;;
2;public;analysis_request_status;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;analysis_request_type;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;analysis_result_status;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
2;public;analysis_result_type;10;obo;;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;;;
