source_db_id;source_schema_name;source_table_name;target_db_id;target_schema_name;target_table_name;source_insert_id_colname;source_last_updated_on_colname;is_static_support_table;can_insert_rows;can_update_rows;can_delete_rows;update_target_table_algorithm_id;update_target_table;compare_target_table;mark_rows_for_deletion_algorithm_id;delete_marked_rows_algorithm_id;mark_rows_for_deletion;delete_marked_rows;row_can_be_deleted_from_seconds;can_delete_row_schema_name;can_delete_row_table_name;delete_marked_rows_table_order;source_db_etl_state_register_schema_name;source_db_etl_state_register_table_name
6;public;alarm_action_type;10;public;mon__alarm_action_type;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
6;public;alarm_actions;10;public;mon__alarm_actions;alarm_action_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
6;public;alarm_event_publishing_queue;10;public;mon__alarm_event_publishing_queue;aepq_id;publishing_queue_status_timestamp;N;Y;Y;N;6;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
6;public;alarm_events;10;public;mon__alarm_events;alarm_event_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
6;public;alarm_priority;10;public;mon__alarm_priority;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
6;public;alarm_severity;10;public;mon__alarm_severity;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
6;public;alarm_state;10;public;mon__alarm_state;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
6;public;alarm_status;10;public;mon__alarm_status;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
6;public;alarms;10;public;mon__alarms;alarm_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
6;public;check_operation;10;public;mon__check_operation;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
6;public;country;10;public;mon__country;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
6;public;cso_reference_type;10;public;mon__cso_reference_type;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
6;public;data_collection_source;10;public;mon__data_collection_source;dcs_id;last_updated_on;N;Y;Y;N;6;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
6;public;database_patch_log;10;public;mon__database_patch_log;database_patch_log_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
6;public;datamodel_type;10;public;mon__datamodel_type;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
6;public;datamodel_version_tracking;10;public;mon__datamodel_version_tracking;dmvt_id;last_updated_on;N;Y;Y;N;6;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
6;public;datamodels;10;public;mon__datamodels;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
6;public;datasource_status;10;public;mon__datasource_status;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
6;public;datasource_type;10;public;mon__datasource_type;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
6;public;db_object_size_statistics;10;public;mon__db_object_size_statistics;doss_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
6;public;db_size_statistics;10;public;mon__db_size_statistics;dss_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
6;public;engineering_data;10;public;mon__engineering_data;engineering_data_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
6;public;engineering_data_links;10;public;mon__engineering_data_links;engineering_data_link_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
6;public;engineering_data_type;10;public;mon__engineering_data_type;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
6;public;filter_thresholds;10;public;mon__filter_thresholds;filter_threshold_id;;N;Y;N;N;1;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
6;public;history_datamodel_version_tracking;10;public;mon__history_datamodel_version_tracking;history_event_id;last_updated_on;N;Y;Y;N;6;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
6;public;history_event_type;10;public;mon__history_event_type;;;Y;Y;Y;N;4;Y;Y;0;0;N;N;;<null>;<null>;;public;dwh_etl_state_register
